susceptible_status,exposed_status,infected_status,recovered_status,happiness_happiness,dead,R₀,active_countermeasures
6312,452,1624,49610,0.04296321694673973,560,2.5357533875094864,0.01
6385,449,1591,49573,0.043082355627838576,560,2.5198958536343916,0.01
6473,443,1558,49524,0.04330582884188978,560,2.5041968950980475,0.01
6552,438,1511,49496,0.043550482930558965,561,2.488654926147067,0.01
6644,428,1504,49420,0.04363575002214404,562,2.473268376885596,0.01
6730,428,1465,49373,0.04381525834339982,562,2.45803569311674,0.01
6810,399,1473,49313,0.044016954624716616,563,2.4429553361855727,0.01
6905,385,1446,49259,0.04424248880011558,563,2.428025782823717,0.01
6994,373,1414,49214,0.04435751328552586,563,2.41324552499548,0.01
7083,362,1386,49164,0.044553454147689936,563,2.398613069745525,0.01
7170,370,1350,49104,0.04474333805802465,564,2.3841269390480697,0.01
7265,384,1314,49030,0.044942446046551676,565,2.369785669657589,0.01
7344,371,1279,48997,0.045031834297241474,567,2.3555878129610135,0.01
7444,374,1250,48923,0.04523894820323067,567,2.341531934831403,0.01
7542,352,1254,48843,0.045451567325504316,567,2.3276166154830893,0.01
7642,333,1229,48786,0.04564337641214888,568,2.3138404493282585,0.01
7762,317,1193,48718,0.045694837945543854,568,2.300202044834976,0.01
7846,315,1170,48659,0.04582619848673718,568,2.2867000243866262,0.01
7953,296,1130,48610,0.045986059702616336,569,2.27333302414276,0.01
8012,307,1113,48555,0.0461757171577629,571,2.2600996939013323,0.01
8131,288,1090,48477,0.046344840562014544,572,2.246998696962319,0.01
8212,283,1074,48417,0.046481312022256305,572,2.2340287099926956,0.01
8295,269,1063,48358,0.0465959736520456,573,2.2211884228927685,0.01
8402,267,1041,48272,0.046790817192204376,576,2.2084765386638407,0.01
8476,287,1004,48215,0.04692773911684794,576,2.1958917732772023,0.01
8579,268,992,48143,0.047056561540625354,576,2.1834328555444302,0.01
8690,269,968,48055,0.04727304246517018,576,2.171098526988986,0.01
8808,267,941,47966,0.04739306209313263,576,2.1588875417190962,0.01
8953,262,908,47859,0.04758350034714071,576,2.146798666301905,0.01
9046,244,908,47784,0.04774367128783847,576,2.134830679638886,0.01
9169,239,874,47700,0.04794238813175255,576,2.1229823728424972,0.01
9295,230,853,47603,0.048164378135455585,577,2.1112525491140723,0.01
9413,224,841,47503,0.04830204594697506,577,2.0996400236229316,0.01
9536,222,831,47392,0.04842930021756862,577,2.0881436233867023,0.01
9634,215,819,47312,0.04867309268934073,578,2.0767621871528354,0.01
9757,209,807,47206,0.048826133062258234,579,2.0654945652813073,0.01
9860,214,784,47121,0.04898066953572774,579,2.054339619628494,0.01
9964,226,752,47037,0.049170080617802266,579,2.043296223432209,0.01
10082,204,761,46932,0.049354218216097846,579,2.032363261197887,0.01
10212,196,732,46839,0.0494659867443713,579,2.021539628585908,0.01
10338,182,720,46739,0.04962072574344949,579,2.010824232300049,0.01
10445,179,716,46639,0.04979938574017134,579,2.0002159899770486,0.01
10560,192,691,46536,0.049911905031784096,579,1.989713830077278,0.01
10674,187,680,46438,0.05003652166729781,579,1.9793166917765053,0.01
10795,199,657,46328,0.05021185540174158,579,4.550339235938178,0.01
10771,320,673,46215,0.0503947537038042,579,4.514335843578796,0.01
10743,427,705,46104,0.05056376635649388,579,4.478692485143008,0.01
10707,520,739,46013,0.05068264259176453,579,4.443405560291578,0.01
10679,559,820,45920,0.05077323746134424,580,4.408471504688662,0.01
10579,665,877,45856,0.050960255377500804,581,4.373886789641776,0.01
10490,744,952,45789,0.0511428575501561,583,4.339647921745358,0.01
10405,827,1028,45715,0.051297994032660166,583,4.305751442527904,0.01
10319,894,1125,45637,0.05146810350269246,583,4.272193928102625,0.01
10248,930,1257,45540,0.05158115787471074,583,4.238971988821598,0.01
10137,991,1366,45480,0.05178216317332888,584,4.2060822689333826,0.01
9988,1061,1470,45451,0.05192964847942421,588,4.173521446244049,0.01
9848,1112,1590,45420,0.05207920201746594,588,4.141286231781608,0.01
9643,1178,1737,45411,0.05219435482623331,589,4.109373369463792,0.01
9456,1252,1869,45391,0.052415765516745774,590,4.077779635769154,0.01
9244,1345,1996,45383,0.052616566133711816,590,4.046501839411463,0.01
8994,1447,2136,45391,0.05273772701655397,590,4.015536821017348,0.01
8782,1468,2312,45403,0.05290278189693817,593,3.984881452807175,0.01
8517,1534,2437,45477,0.0530864057019566,593,3.9545326382791033,0.01
8284,1568,2585,45527,0.053229579574810906,594,3.9244873118963124,0.01
8031,1614,2714,45601,0.05335579483291159,598,3.8947424387773495,0.01
7746,1671,2866,45677,0.05348730076270356,598,3.865295014389576,0.01
7492,1688,3009,45771,0.05364157861812721,598,3.83614206424568,0.01
7271,1729,3099,45861,0.053786402258394074,598,3.807280643603223,0.01
7052,1701,3248,45957,0.0539084660796258,600,3.778707837167191,0.01
6818,1690,3341,46109,0.05409331949002204,600,3.750420758795519,0.01
6621,1688,3417,46232,0.054255216662219184,600,3.722416551207564,0.01
6435,1678,3476,46366,0.054430663134741486,603,3.6946923856954883,0.01
6177,1723,3579,46475,0.05457906266377898,604,3.6672454618385335,0.01
5980,1674,3695,46603,0.05478932768757529,606,3.640073007220148,0.01
5775,1659,3797,46720,0.05499152777843659,607,3.613172277147947,0.01
5611,1611,3835,46889,0.05513545546527906,612,3.5865405543764672,0.01
5436,1586,3914,47008,0.05525378604423576,614,3.5601751488327027,0.01
5287,1544,3984,47128,0.055407386495357626,615,4.407834752089596,0.01
