susceptible_status,exposed_status,infected_status,recovered_status,dead,R₀,active_countermeasures,happiness
1235,498,3628,50709,2488,5.330737562723179,0.0,0.0032790151961357623
1242,495,3610,50723,2488,5.330737562723179,0.0,0.003276948578716152
1249,475,3600,50743,2491,5.330737562723179,0.0,0.0032748841924330717
1271,480,3531,50784,2492,5.330737562723179,0.0,0.003272822062791881
1299,497,3480,50789,2493,5.330737562723179,0.0,0.00327076221466678
1340,484,3444,50796,2494,5.330737562723179,0.0,0.0032687046723133954
1369,489,3408,50796,2496,5.330737562723179,0.0,0.0032666494593810687
1386,518,3345,50810,2499,5.330737562723179,0.0,0.0032645965989248913
1407,510,3294,50848,2499,5.330737562723179,0.0,0.003262546113417514
1411,488,3299,50860,2500,5.330737562723179,0.0,0.0032604980247606884
1455,477,3267,50859,2500,5.330737562723179,0.0,0.003258452354296572
1478,501,3243,50834,2502,5.330737562723179,0.0,0.0032564091228188103
1519,481,3237,50813,2508,5.330737562723179,0.0,0.0032543683505833797
1542,473,3227,50808,2508,5.330737562723179,0.0,0.003252330057319207
1551,496,3196,50806,2509,5.330737562723179,0.0,0.003250294262238585
1563,517,3176,50793,2509,5.330737562723179,0.0,0.003248260984047344
1581,486,3151,50829,2511,5.330737562723179,0.0,0.003246230240954862
1591,473,3131,50851,2512,5.330737562723179,0.0,0.0032442020506838233
1618,490,3092,50846,2512,5.330737562723179,0.0,0.0032421764304797983
1606,476,3111,50852,2513,5.330737562723179,0.0,0.0032401533971206375
1638,482,3078,50847,2513,5.330737562723179,0.0,0.0032381329669256484
1663,473,3052,50855,2515,5.330737562723179,0.0,0.003236115155764629
1700,468,3012,50861,2517,5.330737562723179,0.0,0.003234099979066664
1694,479,2992,50876,2517,5.330737562723179,0.0,0.0032320874518287864
1718,490,2975,50857,2518,5.330737562723179,0.0,0.003230077588624447
1721,493,2968,50858,2518,5.330737562723179,0.0,0.003228070403611813
1699,497,2951,50892,2519,5.330737562723179,0.0,0.003226065910541907
1722,478,2937,50900,2521,5.330737562723179,0.0,0.0032240641227665665
1736,494,2923,50884,2521,5.330737562723179,0.0,0.0032220650532462703
1747,512,2925,50852,2522,5.330737562723179,0.0,0.003220068714557782
1754,487,2919,50876,2522,5.330737562723179,0.0,0.003218075118901665
1755,476,2949,50856,2522,5.330737562723179,0.0,0.0032160842781096184
1749,466,2952,50869,2522,5.330737562723179,0.0,0.003214096203651696
1721,462,2965,50887,2523,5.330737562723179,0.0,0.003212110906643365
1744,449,2950,50891,2524,5.330737562723179,0.0,0.0032101283978524372
1754,444,2926,50910,2524,5.330737562723179,0.0,0.003208148687705839
1747,450,2932,50903,2526,5.330737562723179,0.0,0.0032061717862962823
1752,458,2907,50915,2526,5.330737562723179,0.0,0.0032041977033887745
1721,483,2905,50920,2529,5.330737562723179,0.0,0.0032022264484270215
1739,471,2892,50925,2531,5.330737562723179,0.0,0.0032002580305396746
1737,491,2853,50945,2532,5.330737562723179,0.0,0.003198292458546498
1744,471,2870,50939,2534,5.330737562723179,0.0,0.003196329740964379
1750,474,2865,50933,2536,5.330737562723179,0.0,0.003194369886013243
1760,475,2863,50924,2536,5.330737562723179,0.0,0.0031924129016218292
1805,442,2858,50914,2539,5.330737562723179,0.0,0.0031904587954333812
1802,469,2810,50936,2541,5.330737562723179,0.0,0.003188507574811223
1809,467,2800,50940,2542,5.330737562723179,0.0,0.0031865592468441873
1814,452,2815,50934,2543,5.330737562723179,0.0,0.0031846138183519944
1804,474,2817,50920,2543,5.330737562723179,0.0,0.0031826712958904933
1829,477,2810,50897,2545,5.330737562723179,0.0,0.003180731685756809
1844,486,2790,50891,2547,5.330737562723179,0.0,0.0031787949939943994
1836,470,2833,50872,2547,5.330737562723179,0.0,0.0031768612263979833
1846,475,2858,50832,2547,5.330737562723179,0.0,0.0031749303885184204
1856,455,2872,50826,2549,5.330737562723179,0.0,0.00317300248566746
1832,473,2862,50840,2551,5.330737562723179,0.0,0.003171077522922415
1845,472,2854,50835,2552,5.330737562723179,0.0,0.0031691555051307453
1819,484,2830,50871,2554,5.330737562723179,0.0,0.003167236436914543
1827,474,2816,50886,2555,5.330737562723179,0.0,0.0031653203226749463
1819,481,2816,50886,2556,5.330737562723179,0.0,0.003163407166596459
1827,459,2843,50870,2559,5.330737562723179,0.0,0.003161496972651194
1837,469,2827,50865,2560,5.330737562723179,0.0,0.0031595897446030285
1857,460,2844,50837,2560,5.330737562723179,0.0,0.003157685486011698
1837,464,2866,50830,2561,5.330737562723179,0.0,0.0031557842002367777
1818,445,2880,50851,2564,5.330737562723179,0.0,0.0031538858904416244
1820,449,2839,50882,2568,5.330737562723179,0.0,0.003151990559597229
1809,457,2853,50867,2572,5.330737562723179,0.0,0.0031500982104859833
1828,434,2868,50855,2573,5.330737562723179,0.0,0.0031482088457054106
1832,433,2848,50872,2573,5.330737562723179,0.0,0.003146322467671777
1813,465,2833,50874,2573,5.330737562723179,0.0,0.0031444390786236863
1803,478,2799,50905,2573,5.330737562723179,0.0,0.0031425586806255673
1768,481,2787,50947,2575,5.330737562723179,0.0,0.0031406812755711165
1793,465,2800,50924,2576,5.330737562723179,0.0,0.0031388068651866637
1772,466,2803,50939,2578,5.330737562723179,0.0,0.0031369354510344906
1803,451,2803,50920,2581,5.330737562723179,0.0,0.003135067034516069
1824,456,2790,50906,2582,5.330737562723179,0.0,0.00313320161687525
1803,488,2795,50890,2582,5.330737562723179,0.0,0.003131339199201396
1814,474,2785,50901,2584,5.330737562723179,0.0,0.0031294797824324323
1818,447,2830,50879,2584,5.330737562723179,0.0,0.0031276233673578823
1833,448,2821,50872,2584,5.330737562723179,0.0,0.0031257699546217974
1850,463,2801,50859,2585,5.330737562723179,0.0,0.003123919544725675
1824,467,2839,50842,2586,5.330737562723179,0.0,0.003122072138031301
1821,473,2846,50831,2587,5.330737562723179,0.0,0.0031202277347635293
1799,489,2832,50850,2588,5.330737562723179,0.0,0.0031183863350130415
