susceptible_status,exposed_status,infected_status,recovered_status,ensemble,dead,R₀,active_countermeasures,happiness,ensemble_1
583,417,7506,49171,1,881,5.00432119179672,0.0,0.6112457114002909,1
585,434,7140,49514,1,885,5.00432119179672,0.0,0.6113037808698839,1
603,407,6764,49894,1,890,5.00432119179672,0.0,0.6121308926567075,1
649,395,6396,50223,1,895,5.00432119179672,0.0,0.6135121608492653,1
680,375,6103,50501,1,899,5.00432119179672,0.0,0.6110850953302313,1
705,387,5771,50795,1,900,5.00432119179672,0.0,0.6108399160318354,1
785,355,5516,50997,1,905,5.00432119179672,0.0,0.6115758156298974,1
818,373,5266,51191,1,910,5.00432119179672,0.0,0.6103869412470708,1
835,370,5036,51405,1,912,5.00432119179672,0.0,0.6086896201738938,1
873,355,4830,51584,1,916,5.00432119179672,0.0,0.6095293377455244,1
881,370,4627,51763,1,917,5.00432119179672,0.0,0.6111856564473539,1
916,367,4448,51908,1,919,5.00432119179672,0.0,0.6108824733990228,1
945,367,4286,52036,1,924,5.00432119179672,0.0,0.6092184257985633,1
989,379,4101,52163,1,926,5.00432119179672,0.0,0.6098251482543251,1
1046,356,3961,52269,1,926,5.00432119179672,0.0,0.6095159372283645,1
1125,341,3823,52340,1,929,5.00432119179672,0.0,0.6080426272964605,1
1172,347,3694,52411,1,934,5.00432119179672,0.0,0.6067697833135383,1
1235,360,3557,52471,1,935,5.00432119179672,0.0,0.6086874504390941,1
1247,385,3428,52563,1,935,5.00432119179672,0.0,0.608804194090808,1
1266,395,3341,52621,1,935,5.00432119179672,0.0,0.6093349143055529,1
1309,382,3269,52661,1,937,5.00432119179672,0.0,0.610131316591471,1
1364,357,3222,52677,1,938,5.00432119179672,0.0,0.6105226355436962,1
1422,352,3150,52693,1,941,5.00432119179672,0.0,0.6097337228122056,1
1436,360,3079,52742,1,941,5.00432119179672,0.0,0.6079687194541763,1
1466,364,3005,52781,1,942,5.00432119179672,0.0,0.6100071566824552,1
1507,344,2924,52841,1,942,5.00432119179672,0.0,0.6062286743592498,1
1550,349,2863,52853,1,943,5.00432119179672,0.0,0.608140527849174,1
1615,346,2799,52852,1,946,5.00432119179672,0.0,0.6073482753397943,1
